Espécies,Amostra,Site,Latitude,Longitude,Data,Sepal length (cm),Sepal width (cm),Petal length (cm),Petal width (cm)
Iris setosa,18,Site1,48.935.966,-64.840.984,1929-12-01,5.1,3.5,1.4,0.3
Iris setosa,21,Site1,48.935.966,-64.840.984,1929-12-01,5.4,3.4,1.7,0.2
Iris setosa,24,Site1,48.935.966,-64.840.984,1929-12-01,5.1,3.3,1.7,0.5
Iris setosa,27,Site1,48.935.966,-64.840.984,1929-12-01,5,3.4,1.6,0.4
Iris setosa,30,Site1,48.935.966,-64.840.984,1929-12-01,4.7,3.2,1.6,0.2
Iris setosa,33,Site1,48.935.966,-64.840.984,1929-12-01,5.2,4.1,1.5,0.1
Iris setosa,36,Site1,48.935.966,-64.840.984,1929-12-01,5,3.2,1.2,0.2
Iris setosa,39,Site1,48.935.966,-64.840.984,1929-12-01,4.4,3,1.3,0.2
Iris setosa,42,Site1,48.935.966,-64.840.984,1929-12-01,4.5,2.3,1.3,0.3
Iris setosa,45,Site1,48.935.966,-64.840.984,1929-12-01,5.1,3.8,1.9,0.4
Iris setosa,48,Site1,48.935.966,-64.840.984,1929-12-01,4.6,3.2,1.4,0.2
Iris setosa,3,Site1,48.935.966,-64.840.984,1929-12-01,4.7,3.2,1.3,0.2
Iris setosa,6,Site1,48.935.966,-64.840.984,1929-12-01,5.4,3.9,1.7,0.4
Iris setosa,9,Site1,48.935.966,-64.840.984,1929-12-01,4.4,2.9,1.4,0.2
Iris setosa,12,Site1,48.935.966,-64.840.984,1929-12-01,4.8,3.4,1.6,0.2
Iris setosa,15,Site1,48.935.966,-64.840.984,1929-12-01,5.8,4,1.2,0.2
Iris setosa,17,Site2,48.540.502,-64.766.512,1930-02-13,5.4,3.9,1.3,0.4
Iris setosa,20,Site2,48.540.502,-64.766.512,1930-02-13,5.1,3.8,1.5,0.3
Iris setosa,23,Site2,48.540.502,-64.766.512,1930-02-13,4.6,3.6,1,0.2
Iris setosa,26,Site2,48.540.502,-64.766.512,1930-02-13,5,3,1.6,0.2
Iris setosa,29,Site2,48.540.502,-64.766.512,1930-02-13,5.2,3.4,1.4,0.2
Iris setosa,32,Site2,48.540.502,-64.766.512,1930-02-13,5.4,3.4,1.5,0.4
Iris setosa,35,Site2,48.540.502,-64.766.512,1930-02-13,4.9,3.1,1.5,0.2
Iris setosa,38,Site2,48.540.502,-64.766.512,1930-02-13,4.9,3.6,1.4,0.1
Iris setosa,41,Site2,48.540.502,-64.766.512,1930-02-13,5,3.5,1.3,0.3
