"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-80.092903,26.1875,NA,"Acanthurus chirurgus"
"gbif",-81.404951,19.390815,NA,"Acanthurus chirurgus"
"gbif",-64.952287,18.334525,NA,"Acanthurus chirurgus"
"gbif",-62.680069,17.274406,NA,"Acanthurus chirurgus"
"gbif",-69.879841,12.412473,NA,"Acanthurus chirurgus"
"gbif",-69.87979,12.412423,NA,"Acanthurus chirurgus"
"gbif",-82.257732,9.351213,NA,"Acanthurus chirurgus"
"gbif",-64.755011,18.354945,NA,"Acanthurus chirurgus"
"gbif",-61.669585,17.067239,NA,"Acanthurus chirurgus"
"gbif",-88.061696,16.898124,NA,"Acanthurus chirurgus"
"gbif",-88.062596,16.897645,NA,"Acanthurus chirurgus"
"gbif",-88.062456,16.898241,NA,"Acanthurus chirurgus"
"gbif",-80.047205,26.773283,NA,"Acanthurus chirurgus"
"gbif",-61.122152,14.6291,NA,"Acanthurus chirurgus"
"gbif",-82.299439,9.453269,NA,"Acanthurus chirurgus"
"gbif",-82.044605,9.256801,NA,"Acanthurus chirurgus"
"gbif",-82.220166,9.323424,NA,"Acanthurus chirurgus"
"gbif",-80.557545,24.928234,NA,"Acanthurus chirurgus"
"gbif",-77.260772,25.06919,NA,"Acanthurus chirurgus"
"gbif",-82.25658,9.352166,NA,"Acanthurus chirurgus"
"gbif",-82.650282,9.609558,NA,"Acanthurus chirurgus"
"gbif",-82.648218,9.610078,NA,"Acanthurus chirurgus"
"gbif",-82.256605,9.352177,NA,"Acanthurus chirurgus"
"gbif",-82.240803,9.34078,NA,"Acanthurus chirurgus"
"gbif",-80.16278,25.731642,NA,"Acanthurus chirurgus"
"gbif",-80.043637,26.772377,NA,"Acanthurus chirurgus"
"gbif",-75.131216,19.895386,NA,"Acanthurus chirurgus"
"gbif",-79.775765,9.443504,NA,"Acanthurus chirurgus"
"gbif",-61.179651,14.747665,NA,"Acanthurus chirurgus"
"gbif",-74.231809,11.250547,NA,"Acanthurus chirurgus"
"gbif",-80.086328,26.235078,NA,"Acanthurus chirurgus"
"gbif",-39.002029,-16.330833,NA,"Acanthurus chirurgus"
"gbif",-80.042873,26.782673,NA,"Acanthurus chirurgus"
"gbif",-40.281967,-20.289621,NA,"Acanthurus chirurgus"
"gbif",-40.226094,-20.388461,NA,"Acanthurus chirurgus"
"gbif",-40.267974,-20.283868,NA,"Acanthurus chirurgus"
"gbif",-40.27962,-20.240122,NA,"Acanthurus chirurgus"
"gbif",-80.043195,26.782509,NA,"Acanthurus chirurgus"
"gbif",-80.04295,26.782483,NA,"Acanthurus chirurgus"
"gbif",-86.599343,16.299122,NA,"Acanthurus chirurgus"
"gbif",-42.001297,-22.96509,NA,"Acanthurus chirurgus"
"gbif",-72.203787,21.787585,NA,"Acanthurus chirurgus"
"gbif",-67.043982,17.939976,NA,"Acanthurus chirurgus"
"gbif",-72.19846,21.790809,NA,"Acanthurus chirurgus"
"gbif",-60.521796,11.300114,NA,"Acanthurus chirurgus"
"gbif",-80.042965,26.773698,NA,"Acanthurus chirurgus"
"gbif",-80.046403,25.713513,NA,"Acanthurus chirurgus"
"gbif",-80.187499,25.713273,NA,"Acanthurus chirurgus"
"gbif",-86.989391,20.456367,NA,"Acanthurus chirurgus"
"gbif",-87.018806,20.410081,NA,"Acanthurus chirurgus"
"gbif",-61.088814,14.530548,NA,"Acanthurus chirurgus"
"gbif",-64.573848,18.471248,NA,"Acanthurus chirurgus"
"gbif",-81.269755,19.372674,NA,"Acanthurus chirurgus"
"gbif",-80.043,26.785552,NA,"Acanthurus chirurgus"
"gbif",-86.977628,20.478716,NA,"Acanthurus chirurgus"
"gbif",-77.933892,25.819796,NA,"Acanthurus chirurgus"
"gbif",-80.09602,26.16523,NA,"Acanthurus chirurgus"
"gbif",-80.043241,26.773096,NA,"Acanthurus chirurgus"
"gbif",-80.043284,26.772823,NA,"Acanthurus chirurgus"
"gbif",-61.091379,14.493672,NA,"Acanthurus chirurgus"
"gbif",-82.039671,9.251739,NA,"Acanthurus chirurgus"
"gbif",-82.039743,9.251598,NA,"Acanthurus chirurgus"
"gbif",-80.037247,26.58483,NA,"Acanthurus chirurgus"
"gbif",-80.04313,26.78243,NA,"Acanthurus chirurgus"
"gbif",-80.042976,26.78238,NA,"Acanthurus chirurgus"
"gbif",-80.037299,26.584717,NA,"Acanthurus chirurgus"
"gbif",-61.206499,14.76235,NA,"Acanthurus chirurgus"
"gbif",-61.182205,14.725813,NA,"Acanthurus chirurgus"
"gbif",-80.040769,26.782794,NA,"Acanthurus chirurgus"
"gbif",-76.445797,24.172484,NA,"Acanthurus chirurgus"
"gbif",-41.993937,-22.966917,NA,"Acanthurus chirurgus"
"gbif",-41.99397,-22.96683,NA,"Acanthurus chirurgus"
"gbif",-81.271464,19.372845,NA,"Acanthurus chirurgus"
"gbif",-60.964872,14.089936,NA,"Acanthurus chirurgus"
"gbif",-88.061845,16.896198,NA,"Acanthurus chirurgus"
"gbif",-88.061995,16.899501,NA,"Acanthurus chirurgus"
"gbif",-61.081648,14.490898,NA,"Acanthurus chirurgus"
"gbif",-61.081768,14.490562,NA,"Acanthurus chirurgus"
"gbif",-61.084566,14.534895,NA,"Acanthurus chirurgus"
"gbif",-61.533672,16.424196,NA,"Acanthurus chirurgus"
"gbif",-80.189211,26.23917,NA,"Acanthurus chirurgus"
"gbif",-80.042781,26.783649,NA,"Acanthurus chirurgus"
"gbif",-75.847943,9.805064,NA,"Acanthurus chirurgus"
"gbif",-75.863368,9.799847,NA,"Acanthurus chirurgus"
"gbif",-61.7925,16.1675,NA,"Acanthurus chirurgus"
"gbif",-88.062821,16.897394,NA,"Acanthurus chirurgus"
"gbif",-76.328728,23.976356,NA,"Acanthurus chirurgus"
"gbif",-88.062536,16.896403,NA,"Acanthurus chirurgus"
"gbif",-88.082751,16.805556,NA,"Acanthurus chirurgus"
"gbif",-88.062634,16.896716,NA,"Acanthurus chirurgus"
"gbif",-64.869984,32.309803,NA,"Acanthurus chirurgus"
"gbif",-34.47673,-8.03289,NA,"Acanthurus chirurgus"
"gbif",-82.22369,9.323881,NA,"Acanthurus chirurgus"
"gbif",-61.08823,14.48987,NA,"Acanthurus chirurgus"
